Ano,Mês,UF,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTACAO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,CPMF,COFINS
2000,Maio,PI,303473,0,753725,466700,0,147084,324269,1849423,2537,2550444,2515305,148986,58759,140181,60459,43898,207679,6975897
2000,Maio,RJ,58386206,46,21054565,24963885,2726534,27302677,57909006,76288865,17815541,218830118,280196920,121862479,61695332,23422843,15941344,53574,29784666,675524381
2000,Maio,RN,1069075,0,1464552,391323,35,484028,484912,2229129,2354,1732857,6191744,221748,30586,353472,11953,12914,83081,12592039
2000,Maio,RS,32480839,8719,16983511,9605892,269367,20414291,55151872,31223450,5047664,49018142,67901519,15886495,3038146,9994076,5783676,422770,36207415,187391980
2000,Maio,RO,24664,0,568723,0,4361,10177,64482,989745,2909,953496,2831112,24261,5719,140434,5926,95800,85657,4994776
2000,Maio,RR,19110,0,220798,0,0,11670,4569,437825,1267,308073,1405520,19686,0,25367,0,7667,3716,1245292
2000,Maio,SC,13308720,10057,4396114,3412824,0,6582295,20440816,9154237,82211,17455256,24444196,3328518,796113,2967118,1735584,50986,8636787,88248076
2000,Maio,SP,389944160,168,52581873,59427213,110869503,217394979,346334317,158499981,58939561,324187430,594850713,491561670,154740516,73839974,185411405,643979,926601114,1212163785
2000,Maio,SE,920929,0,777355,3900044,0,769433,1406509,2143917,183839,1646773,4651359,418371,196389,177385,170620,7153,1162652,8047420
2000,Maio,TO,6568,0,309262,51345,0,2939,69622,422367,0,529336,904291,13239,0,81374,1233,34070,12514,2690196
2000,Junho,AC,636,0,249093,0,0,214,13072,439994,659,609829,1751749,15211,1001,29186,806,56233,175,1405990
2000,Junho,AL,429780,35180,1183009,767192,0,194170,2771704,1662674,120,1363980,4449804,227592,206155,685109,7049,82512,77708,10969524
2000,Junho,AP,42799,0,355923,1774,553,45183,3924,414204,0,392958,2024498,9350,4704,51364,444,46261,0,1845959
2000,Junho,AM,11514488,19,1415010,1685632,27487,2658330,1194637,2298595,353842,6199827,13032551,692470,1871245,1918963,844945,66438,1127223,60914113
2000,Junho,BA,11585291,0,5134483,9923300,0,15925583,22203386,6420378,542615,37392632,29214866,11050666,2474996,2751061,2340467,1139725,12674485,80526031
2000,Junho,CE,3861043,0,4072413,3991444,75,984965,3488569,5602227,10782,8528968,16603358,1775056,637232,1035052,812544,155786,3975649,33096792
2000,Junho,DF,2163431,0,3383880,2639747,115,2572904,970521,9372879,6690300,42251793,204888877,76344845,3072507,29225350,24577365,115345,234493327,99361022
2000,Junho,ES,53653276,0,3106634,340407,2495564,38583458,8233657,3950898,553,8399332,11702574,1187281,5299052,1613048,283481,126444,139,39564123
2000,Junho,GO,8590298,0,3055774,4131883,0,4747850,3344235,5161210,16255,9396825,11017458,3154636,374085,1402348,611867,2020108,4030506,48401296
2000,Junho,MA,4444557,0,995980,3230277,0,440269,1222197,1610222,234,1773728,5413378,209991,4505,291157,147028,325351,572504,10715003
2000,Junho,MT,563682,15,1614177,2156458,0,573929,551890,2264268,2529,4185546,4990841,315026,1102830,310186,60586,3294547,841504,15626007
2000,Junho,MS,208284,0,871033,146513,0,93197,634437,3469492,55,2555580,4756785,338398,26187,240113,90950,1559013,242823,11232829
2000,Junho,MG,38743074,15,14286344,12394596,6605583,15913003,44877210,23166144,4788105,37947150,68961903,7578683,14976961,6968156,3421908,1954863,13116948,199278720
